Fases,Part,Intervalo,Inicio,Fim,Interval
Análise Trimetral,1,Intervalo fechado,2023-07-15,2023-08-12,4
Fase Planejamento (< 2000),P,Inicio,2023-08-12,2023-09-30,7
Análise Trimetral,2,Intervalo fechado,2023-10-14,2023-11-11,4
Fase Interim (> 2000),G,Inicio,2023-10-14,2023-11-18,5
Fase Interim (< 2000),P,Inicio,2023-11-18,2023-12-16,4
Férias,1,Intervalo fechado,2023-12-23,2023-12-30,1
Fase Final,1,Intervalo fechado,2024-01-13,2024-03-30,11
Fase Planejamento (> 2000),G,Inicio,2024-04-13,2024-05-25,6
Férias,2,Intervalo fechado,2024-06-01,2024-06-22,3
Periodo de Pico,1,fechado,2024-01-13,2024-04-06,12
